window_ms,min_alert_ratio,fallback_k,event_recall,event_precision,f1_event,latency_ms,far_alerts_per_min,n_gt_incidents,n_detected_incidents,n_alert_events,false_alerts_normal,is_pareto
300,0.3,5,0.5,0.42857142857142855,0.4615384615384615,1816.4999999999998,0.0,4,2,7,0,False
300,0.4,5,0.5,0.42857142857142855,0.4615384615384615,1816.4999999999998,0.0,4,2,7,0,False
300,0.5,5,0.5,0.42857142857142855,0.4615384615384615,1816.4999999999998,0.0,4,2,7,0,False
300,0.6,5,0.5,0.5,0.5,1816.4999999999998,0.0,4,2,6,0,False
300,0.7,5,0.5,0.5,0.5,1816.4999999999998,0.0,4,2,6,0,False
300,0.8,5,0.5,0.5,0.5,1816.4999999999998,0.0,4,2,6,0,False
300,0.9,5,0.5,0.6,0.5454545454545454,1816.4999999999998,0.0,4,2,5,0,False
400,0.3,5,0.5,0.42857142857142855,0.4615384615384615,1816.4999999999998,0.0,4,2,7,0,False
400,0.4,5,0.5,0.42857142857142855,0.4615384615384615,1816.4999999999998,0.0,4,2,7,0,False
400,0.5,5,0.5,0.42857142857142855,0.4615384615384615,1816.4999999999998,0.0,4,2,7,0,False
400,0.6,5,0.5,0.5,0.5,1816.4999999999998,0.0,4,2,6,0,False
400,0.7,5,0.5,0.5,0.5,1816.4999999999998,0.0,4,2,6,0,False
400,0.8,5,0.5,0.5,0.5,1816.4999999999998,0.0,4,2,6,0,False
400,0.9,5,0.5,0.6,0.5454545454545454,1816.4999999999998,0.0,4,2,5,0,False
500,0.3,5,0.5,0.375,0.42857142857142855,1816.4999999999998,0.0,4,2,8,0,False
500,0.4,5,0.5,0.3333333333333333,0.4,1816.4999999999998,0.0,4,2,9,0,False
500,0.5,5,0.5,0.3333333333333333,0.4,1816.4999999999998,0.0,4,2,9,0,False
500,0.6,5,0.5,0.5,0.5,1816.4999999999998,0.0,4,2,6,0,False
500,0.7,5,0.5,0.6,0.5454545454545454,1816.4999999999998,0.0,4,2,5,0,False
500,0.8,5,0.5,0.6,0.5454545454545454,1816.4999999999998,0.0,4,2,5,0,False
500,0.9,5,0.5,0.5,0.5,3700.0,0.0,4,2,4,0,False
600,0.3,5,0.5,0.4444444444444444,0.47058823529411764,1816.4999999999998,0.0,4,2,9,0,False
600,0.4,5,0.5,0.4,0.4444444444444445,1816.4999999999998,0.0,4,2,10,0,False
600,0.5,5,0.5,0.4444444444444444,0.47058823529411764,1816.4999999999998,0.0,4,2,9,0,False
600,0.6,5,0.5,0.5714285714285714,0.5333333333333333,1816.4999999999998,0.0,4,2,7,0,False
600,0.7,5,0.5,0.6666666666666666,0.5714285714285715,1816.4999999999998,0.0,4,2,6,0,True
600,0.8,5,0.5,0.6,0.5454545454545454,1816.4999999999998,0.0,4,2,5,0,False
600,0.9,5,0.5,0.5,0.5,3700.0,0.0,4,2,4,0,False
700,0.3,5,0.5,0.4444444444444444,0.47058823529411764,1816.4999999999998,0.0,4,2,9,0,False
700,0.4,5,0.5,0.4444444444444444,0.47058823529411764,1816.4999999999998,0.0,4,2,9,0,False
700,0.5,5,0.5,0.5,0.5,1816.4999999999998,0.0,4,2,8,0,False
700,0.6,5,0.5,0.5714285714285714,0.5333333333333333,1816.4999999999998,0.0,4,2,7,0,False
700,0.7,5,0.5,0.6666666666666666,0.5714285714285715,1816.4999999999998,0.0,4,2,6,0,True
700,0.8,5,0.5,0.6666666666666666,0.5714285714285715,1816.4999999999998,0.0,4,2,6,0,True
700,0.9,5,0.5,0.5,0.5,3700.0,0.0,4,2,4,0,False
800,0.3,5,0.5,0.4444444444444444,0.47058823529411764,1816.4999999999998,0.0,4,2,9,0,False
800,0.4,5,0.5,0.4444444444444444,0.47058823529411764,1816.4999999999998,0.0,4,2,9,0,False
800,0.5,5,0.5,0.5,0.5,1816.4999999999998,0.0,4,2,8,0,False
800,0.6,5,0.5,0.5714285714285714,0.5333333333333333,1816.4999999999998,0.0,4,2,7,0,False
800,0.7,5,0.5,0.6666666666666666,0.5714285714285715,1816.4999999999998,0.0,4,2,6,0,True
800,0.8,5,0.5,0.6666666666666666,0.5714285714285715,1816.4999999999998,0.0,4,2,6,0,True
800,0.9,5,0.5,0.5,0.5,3700.0,0.0,4,2,4,0,False
